id,value0,value1,value2,value3,value4,value5,value6,value7,value8,value9,value10,value11,value12,value13,value14,value15,value16,value17,value18,value19,value20,value21,value22,value23,value24,value25,value26,value27,value28,value29,value30,value31,value32,value33,value34,value35,value36,value37,value38,value39,value40,value41,value42,value43,value44,value45,value46,value47,value48,value49,value50,value51,value52,value53,value54,value55,value56,value57,value58,value59,value60,value61,value62,value63,value64,value65,value66,value67,value68,value69,value70,value71,value72,value73,value74,value75,value76,value77,value78,value79,value80,value81,value82,value83,value84,value85,value86,value87,value88,value89,value90,value91,value92,value93,value94,value95,value96,value97,value98,value99,value100,value101,value102,value103,value104,value105,value106,value107,value108,value109,value110,value111,value112,value113,value114,value115,value116,value117,value118,value119,value120,value121,value122,value123,value124,value125,value126,value127,value128,value129,value130,value131,value132,value133,value134,value135,value136,value137,value138,value139,value140,value141,value142,value143,value144,value145,value146,value147,value148,value149,value150,value151,value152,value153,value154,value155,value156,value157,value158,value159,value160,value161,value162,value163,value164,value165,value166,value167,value168,value169,value170,value171,value172,value173,value174,value175,value176,value177,value178,value179,value180,value181,value182,value183,value184,value185,value186,value187,value188,value189,value190,value191,value192,value193,value194,value195,value196,value197,value198,value199,value200,value201,value202,value203,value204,value205,value206,value207,value208,value209,value210,value211,value212,value213,value214,value215,value216,value217,value218,value219,value220,value221,value222,value223,value224,value225,value226,value227,value228,value229,value230,value231,value232,value233,value234,value235,value236,value237,value238,value239,value240,value241,value242,value243,value244,value245,value246,value247,value248,value249,value250,value251,value252,value253,value254,value255,value256,value257,value258,value259,value260,value261,value262,value263,value264,value265,value266,value267,value268,value269,value270,value271,value272,value273,value274,value275,value276,value277,value278,value279,value280,value281,value282,value283,value284,value285,value286,value287,value288,value289,value290,value291,value292,value293,value294,value295,value296,value297,value298,value299,value300,value301,value302,value303,value304,value305,value306,value307,value308,value309,value310,value311,value312,value313,value314,value315,value316,value317,value318,value319,value320,value321,value322,value323,value324,value325,value326,value327,value328,value329,value330,value331,value332,value333,value334,value335,value336,value337,value338,value339,value340,value341,value342,value343,value344,value345,value346,value347,value348,value349,value350,value351,value352,value353,value354,value355,value356,value357,value358,value359,value360,value361,value362,value363,value364,value365,value366,value367,value368,value369,value370,value371,value372,value373,value374,value375,value376,value377,value378,value379,value380,value381,value382,value383,reference
10,0,0,0,0.552632,0,0,0,0.957584,0.971553,-0.25,0,0,0,0.898859,0,0,0,0,0,0,0,0,0,0.771882,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.044881,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.126482,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0.42685,0.651261,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0.022923,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.741313,0,0,0,0,0,0,0,0,0,0.934426,0,0,0,0,0,0,0,0,0,0.275,0,0,0.792543,0,-0.25,0,0,0,0,0.746964,0.807868,0.593425,0.950313,0,-0.25,0,0,0,0,0.767354,0.726174,0.080605,0,0,0,0.242775,0.376045,0,0,0.829614,0.679467,0,0,0,0,0.013115,0.730416,0.5142,0,0,0,0,-0.25,-0.25,-0.25,0.217143,0.702786,0.723504,0,0,0,-0.25,-0.25,-0.25,-0.25,0.485126,0.780078,0.211031,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0.027747,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.178218,0.870434,0.703791,0,0,-0.25,-0.25,-0.25,0,0,0,0.222618,0.624955,0,0,0,0,0,0,0,0,0.879375,0,0.930293,0,0,0,0,0,0,0,0,0,0.585125,0,0,0,-0.25,0,0.999783,0.999848,0.988837,0,0,0,0,0,0.99915,0.999858,0.95736,0,0,0,0,0,0.884627,0.999328,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.998371,0.997081,0,0,0,-0.25,0.996511,0,0.999339,0.999621,0,0,0,0,0.999867,0.985461,0.999706,0.999916,0.837313,0,0,0,0.99929,0.996988,0.999807,0.999935,0.987427,0,0,0,0,0.998569,0.999547,0.995955,0,0,0,0,0,0.792618,0.981689,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0.853072,0,0,0,-0.25,-0.25,-0.25,0,0.99899,0.978826,0,0,-0.25,-0.25,-0.25,0,0.998554,0.986608,0,0,0,0,-0.25,0,0.998409,0.998802,0.960229,0,0,0,0,0,0.999426,0.999724,0.940804,0,0,0,0,42.246002
11,0,0,0,0,0,0.598256,0,0,-0.25,-0.25,0,0.016453,0,0,0,0.515428,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0.025381,0.670609,0,-0.25,-0.25,-0.25,-0.25,0.300683,0.575811,0,0.024679,0.546091,0,-0.25,-0.25,-0.25,-0.25,0.50478,0.755934,0.129181,0,0,0,0,-0.25,-0.25,-0.25,0.909366,0.280057,0,0,0,0,0,0,0,-0.25,0.937168,0.252809,0,0,0,0,0,0,0,0,0.867884,0,0,0,0,0,0,0,0,-0.25,0.321951,0.048913,0,0,0,0.390438,0,0,-0.25,-0.25,0,0.102773,0,0,0,0.69402,0.810824,0.8775,-0.25,-0.25,0,0,0,0,0,0.425207,0.892287,0,0,-0.25,0,0.032907,0.041237,0,0.132743,0.74852,0.64175,0,0,0,0,0,0,0,0.84492,0.705344,0,0,0,-0.25,0.142857,0.515578,0.803369,0.771687,0,0,0,-0.25,-0.25,-0.25,0.575868,0.535714,0.8623,0.493151,0,0,-0.25,-0.25,-0.25,-0.25,0.485981,0.429523,0.827426,0.757785,0.230868,0,-0.25,-0.25,-0.25,-0.25,0.25,0.634008,0.849746,0.451106,0,0,0,-0.25,-0.25,-0.25,0.036923,0,0,0,0.750344,0.597028,0,0,0,-0.25,0.023392,0,0,0,0.326901,0.897074,0.596925,0,0,0,0,0,0,0,0,0.767241,0.812623,0.210481,0,-0.25,0,0,0,0,0,0,0.457922,0.937379,-0.25,-0.25,0.996626,0.978711,0.99962,0.999974,0.999242,0,0,-0.25,0,0.984548,0.999922,0.999981,0.998647,0,0,0,0,0.930914,0.999932,0.999983,0.995418,0,0,0,0,0,0.999303,0.999706,0,0,-0.25,-0.25,0,0,0.93786,0.996206,0,-0.25,-0.25,-0.25,0,0,0.998371,0.998542,0,0,-0.25,-0.25,0,0.9932,0.999917,0.999797,0,0,0,0,0,0.999129,0.999999,1,0.9945,0,0,0,0,0.998445,0.999999,0.999974,0.99904,0,0,-0.25,0,0.998393,0.999987,0.999976,0.999222,0,0,-0.25,0.992421,0.994727,0.99989,0.999931,0.998722,0,0,0,0.998855,0.999752,0.999969,0.9999,0.992905,0,0,0,0,0.99911,0.998815,0.989641,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.993574,0,0,0,-0.25,-0.25,0,0.966845,0.999923,0.999546,0.978944,0,0,0,0.994872,0.978391,0.999767,0.999993,0.998974,0,0,0,0.999875,0.996044,0.999639,0.999993,0.999535,0,0,-0.25,36.861204
12,0.948382,0,0,0.929661,0.929369,0.640295,0.417618,0.757755,0.799029,0,0.72554,0,0,0.910265,0,0,0,0,0,0,0.372671,0.044118,0,0,0,0,0,0,0,-0.25,0,0.056075,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.506458,0.133612,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0.657122,0.037603,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.021918,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.582938,0,0,0,0,0,0,0,-0.25,0,0.909791,0.320534,0,0,0,0,0,0,0,0,0.81262,0.781504,0,0.026966,0.566638,0.396012,0,0,0,0,0.805942,0.910591,0.85456,0.743221,0.602092,0.776618,0,0,0,0,0.187413,0.94144,0.899441,0.390014,0.932393,0.812653,0,0,0,0,0,0,0,0.347032,0.915857,0.794185,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,-0.25,0.161616,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0.671602,0,0,0,0,0,0,0,0,-0.25,0.414587,0,0,0,0.37931,0.851351,0.756157,0.85511,0.539195,0,0.815107,0.622308,0,0.715339,0.973454,0.937774,0.790788,0.86699,0.598683,0,0,0,0,0.618527,0.88407,0,0,0,0,0,0,0,0,0,0,0,0,0.976113,0,0,0,0,-0.25,-0.25,0,0.999316,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0.35573,0,0,0,0,0,0,0,0,0,0,27.388357
13,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0.692463,0,0,0,0,0,0,0,0,0,0.65812,0,0,0,0,0,0,0,0,0.475561,0.874306,0,0,-0.25,-0.25,0,0,0,0,0.525334,0.465957,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.882637,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.871463,0,0,-0.25,-0.25,0,0,0,0,0,0.093156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.055771,0.213974,0,0,0,-0.25,0,0,0,0,0.082317,0.171229,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0.207792,0,0,0,0.168675,0.845476,0,0,0,0,0.35468,0,0.111707,0.105805,0.741252,0.508513,0,-0.25,-0.25,0,0,0,0.464527,0.53922,0.236969,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.507673,0.462613,0,0,-0.25,-0.25,0,0,0,0,0.7852,0,0,0,0,0,0,0,0,0,0.227129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0.99445,0.999809,0.977484,0,0,-0.25,0,0,0,0.995953,0.997902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976729,0.718411,0,0,-0.25,0,0,0,0.999442,0.997155,0,-0.25,-0.25,0,0,0.99368,0.999947,0.999202,0,0,-0.25,0,0.851734,0.999688,0.999987,0.999482,0,0,0,0,0.998775,1,0.999999,0.998483,0,0,0,0,0.999595,0.999998,0.999995,0.996846,0,0,-0.25,0,0.999643,1,0.999967,0.999131,0,0,-0.25,0,0.905746,0.999922,0.999965,0.999848,0.990103,0,0,0,0,0.999373,0.999917,0.999986,0.997588,0,0,0,0,0,0.992253,0.993623,0,0,-0.25,0,0.998335,0.999495,0.997591,0,0,-0.25,-0.25,0,0.999261,0.999827,0.999972,0.994544,0,0,-0.25,0,0.999017,0.999742,0.999938,0.972759,0,0,0,0,0.996239,0.999959,0.999782,0,0,0,0,0,0,0.999752,0.999656,0,0,0,-0.25,45.474744
14,0,0,0,0,0,0,0.875744,0,-0.25,-0.25,0,0,0,0,0,0,0.218217,0,0,0,0,0,0.307988,0,0,0,0.699454,0,0,0,0,0,0,0,0,0.06516,0.199377,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.82996,0.413004,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0.783703,0.745994,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0.03441,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.034123,0,0,0,-0.25,0,0,0,0,0,0.296371,0.830606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.639554,0,0,-0.25,0,0,0,0,0,0.515067,0.951056,0,0,-0.25,0,0,0,0,0,0.315659,0.746754,0,0,0,0,0,0,0,0,0.837369,0.900121,0,0,0,0,0,0,0,0,0.941264,0,0,0,-0.25,0.361174,0.452009,0,0.190194,0.109091,0,0,-0.25,-0.25,-0.25,0.720896,0.471572,0.602707,0.920722,0.842921,0.049645,-0.25,-0.25,-0.25,-0.25,0.316742,0.687677,0,0.881523,0.919455,0.204013,-0.25,-0.25,-0.25,-0.25,0,0.457965,0.335155,0.748764,0.637681,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.873911,0.892328,0,0,-0.25,0,0,0,0,0,0.313484,0.851611,0,0,0,0,0,0,0,0,0,0.960401,0,0,0,0,0,0,0,0,0,0.8992,0,-0.25,-0.25,0,0.995467,0.99993,0.999974,0.999998,0.998797,0,-0.25,0,0,0.999169,0.999979,0.999994,0.997685,0,0,0,0,0.988164,0.999988,0.999646,0,0,0,0,0,0,0.999697,0.993299,0,-0.25,-0.25,0,0,0.995026,0.999518,0,-0.25,-0.25,-0.25,0,0,0.999647,0.999961,0.994858,0,-0.25,-0.25,0,0.998145,0.999942,0.999986,0.999731,0,0,0,0,0.99854,0.99982,0.999991,1,0.997048,0,0,0,0.999493,0.999949,0.999984,1,0.997508,0,-0.25,0.995267,0.999799,0.999794,0.999985,0.999994,0.989987,0,-0.25,0.999508,0.999816,0.999921,0.999996,0.999952,0.965607,0,0,0.99967,1,1,0.999951,0.99863,0,0,0,0.999435,0.999211,0.998877,0.991593,0,0,-0.25,-0.25,0,0.955396,0,0,0,-0.25,-0.25,-0.25,0,0,0.941799,0.831173,0,0,-0.25,-0.25,0,0,0.999703,0.999913,0.998892,0,0,0,0,0.995225,0.99982,0.999991,0.999999,0.995034,0,0,0,0.995,0.999516,0.999979,1,0.99795,0,-0.25,44.463586
15,0.654982,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0.176101,0,0,0,0,0.899316,0.956487,0,0,-0.25,0.647173,0,0,0.137817,0.899649,0.860719,0,0,0,0,0.265823,0,0,0.829121,0.578512,0,0,0,0,0,0,0,0,0.776995,0,0,0,0,-0.25,-0.25,0.226415,0.961946,0.340045,0,0,0,-0.25,-0.25,-0.25,-0.25,0.042636,0.90579,0.159091,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.769986,0.858614,0.620253,0,0,-0.25,-0.25,-0.25,-0.25,0,0.939895,0.593886,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0.881279,0.568885,0,0,0,0,0,-0.25,-0.25,0.09589,0.019868,0,0.895231,0.766159,0,0,0,0,0,0.895522,0.037528,0.050078,0.661253,0.85443,0.562549,0,0,0,0,0.911392,0,0,0,0.070936,0.926201,0.948822,0,0,-0.25,0,0,0,0.802265,0,0,0,0,0,0,0,0.993723,0.989084,0,0,0,0,0,0,0.997265,0.943563,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0.996344,0.996381,0,-0.25,-0.25,-0.25,0,0,0.99399,0.994109,0,-0.25,-0.25,-0.25,0,0,0,0.99798,0.930889,0,0,-0.25,0,0,0,0.996051,0.966216,0,0,0,0,0,0.777276,0.995066,0.984638,0,0,0,0,0,0,0.829696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68.654968
16,0.215983,0.365385,0.099174,0.02172,0.512409,0,0,0,-0.25,-0.25,0.081013,0.427273,0.330947,0.2,0.050491,0,0,0,0,0,0.174334,0.27,0.421053,0.443401,0.176904,0,0,0,0,0,0.020672,0.027864,0,0.183419,0.298446,0,0,0,0,-0.25,0,0,0.274207,0.101543,0.45719,0,0,-0.25,-0.25,-0.25,0,0.0432,0.01854,0.444561,0.15859,0,-0.25,-0.25,-0.25,-0.25,0,0.253676,0,0.02172,0.335294,0,-0.25,-0.25,-0.25,-0.25,0.031579,0.09403,0,0,0.732824,0,0,-0.25,-0.25,-0.25,0.01105,0,0,0,0.653128,0,0,0,0,-0.25,0,0,0,0,0.241341,0,0,0,0,0,0,0,0,0,0.073922,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0.752344,0.057276,0,0,-0.25,-0.25,0,0,0.018141,0,0.757009,0.663029,0.343348,0,0,0,0.01105,0,0,0,0,0.303271,0.033543,0,0,0,0,0.041284,0.099792,0,0,0,0,0,0,-0.25,0,0,0.035674,0,0.900331,0.289677,0,-0.25,-0.25,-0.25,0,0.741056,0.631376,0.578328,0.697775,0,-0.25,-0.25,-0.25,-0.25,0,0.707746,0.511848,0.588576,0.748465,0,-0.25,-0.25,-0.25,-0.25,0.031579,0.09403,0.195857,0,0.760661,0,0,-0.25,-0.25,-0.25,0,0.069444,0.018476,0,0.600371,0.764901,0,0,0,-0.25,0.088235,0.126761,0.16972,0,0,0,0,0,0,0,0,0.068807,0,0.022026,0,0,0,0,0,0,0.2,0.143687,0,0,0.74111,0.711638,0,0,-0.25,-0.25,0,0,0.941074,0.999684,0.923532,0,0,-0.25,0,0,0,0.961445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0.980058,0.999408,0.99958,0,0,-0.25,-0.25,0.972278,0.999808,1,0.999998,0.836059,0,0,0,0.999297,1,1,0.999986,0.924036,0,0,0,0.999843,1,1,0.999977,0,0,0,-0.25,0.999791,0.999989,0.999995,0.999999,0.992153,0,0,-0.25,0.9988,0.9999,0.999882,0.999955,0.997909,0,0,0,0.99496,0.999813,0.99992,0.99999,0.998485,0,0,0,0.999421,0.999974,0.999868,0.999708,0.986326,0,-0.25,-0.25,0.999703,0.999277,0,0,0,-0.25,-0.25,-0.25,0.996394,0.961862,0.999213,0.999293,0.854018,0,-0.25,-0.25,0,0.999598,0.999922,0.999997,0.998986,0,0,0,0,0.999544,0.999699,0.999978,0.999086,0,0,0,0,0.967514,0.99969,0.999998,0.997033,0,0,-0.25,44.325819
17,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.606292,0,0,0,0,0,0,0,0,0,0.502793,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0.468262,0.39485,0,0,-0.25,-0.25,-0.25,0,0,0,0.766405,0.02746,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.923678,0.40261,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.553587,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0.165138,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0.094987,0,0,0,0,0,0,0,0,0,0.023324,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.899549,0.422242,0,-0.25,0,0,0,0,0.514882,0.772945,0.597712,0,0,0,0,0,0,0,0.841837,0.683224,0,0,0,0,0,0,0,0.123967,0,0,0,0,-0.25,-0.25,0,0.349001,0.524428,0.812162,0,0,0,-0.25,-0.25,-0.25,0,0.700066,0.866278,0,0,0,-0.25,-0.25,-0.25,-0.25,0.340771,0.165488,0.746858,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0.53911,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.648148,0,0,-0.25,-0.25,0,0,0,0,0.026906,0.415414,0,0,0,0,0,0,0,0,0.780269,0.821662,0.873006,0,0,0,0.330357,0,0,0,0.16568,0.703879,0,0,0,-0.25,0,0.999275,0.999979,0.999996,0.996667,0,0,-0.25,0,0.99963,0.999982,0.999988,0.90561,0,0,0,0,0.99976,0.999952,0.99972,0,0,0,0,0,0.999523,1,0.998043,0,0,-0.25,-0.25,0,0.995965,0.999579,0,0,-0.25,-0.25,-0.25,0,0,0.999813,0.994419,0,0,-0.25,-0.25,0,0.976194,0.999984,0.999672,0,0,0,0,0,0.982222,0.999928,1,0.997705,0,0,0,0,0.994053,0.999894,1,0.998733,0,0,-0.25,0,0.999112,0.999966,1,0.99862,0,0,-0.25,0.999642,0.999398,0.999925,0.999987,0.993822,0,0,0,0.999721,0.999339,0.999998,0.999268,0,0,0,0,0.996619,0.983407,0.992766,0,0,0,-0.25,-0.25,0.979273,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0.999636,0.999316,0,0,0,0,0,0.99022,0.999969,0.999995,0.992108,0,0,0,0,0.998304,0.999824,0.999993,0.997405,0,0,-0.25,35.891308
18,0,0.463519,0.835794,0.96184,0.646384,0,0,0,0,-0.25,0,0.376119,0.64,0.336889,0,0,0,0,0,0,0,0,0.017021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0.013062,0,0,0,0,0,0,0,0,0,0.749626,0.866334,0.925755,0,0,0,0,0,0,0,0.472,0.895379,0.898532,0,0,0,0,0,-0.25,0.018868,0.64486,0.801461,0.727856,0,0,0,0,0,-0.25,0,0.337866,0.877127,0,0,0,0,0,0,0.436823,0,0,0,0.020509,0,0,0,0.202211,0,0.120879,0,0,0,0,0,0,0.042216,0.331288,-0.25,-0.25,0,0,0.267729,0.51449,0,0,0,-0.25,-0.25,-0.25,0.105012,0.863102,0.582964,0.802242,0,0,-0.25,-0.25,-0.25,-0.25,0,0.71603,0.418367,0.766904,0,0,-0.25,-0.25,-0.25,-0.25,0,0,0,0.519751,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0.03272,0,0,0.027207,0.086996,0,0.330275,0.492156,0,0,0.835104,0.744857,0,0,0,0,0,0,0,0.238842,0.660884,0.963658,0.68207,0,0.031128,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,80.052264
19,0,0,0,0,0,0,0.065206,0.057002,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,-0.25,-0.25,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0.034061,0,0,-0.25,0,0,0,0,0,0,0.914235,0,0,0,0,0,0,0,0.195181,0.724932,0,0,0,-0.25,0,0.175487,0.77039,0.187688,0.30343,0.504018,0,-0.25,-0.25,-0.25,0,0,0.571508,0.910315,0,0,0,-0.25,-0.25,-0.25,0,0,0.778406,0.79776,0,0,0,-0.25,-0.25,-0.25,0,0.069659,0.2466,0.064433,0.213523,0.691835,0,-0.25,-0.25,-0.25,0,0,0,0,0,0.612813,0,0,0,-0.25,0,0,0,0,0,0,0.910554,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0.034225,0.057692,-0.25,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0.998565,0.973049,0,0,0,0,0,0.900501,0.998524,0,0,0,0,0,0,0.999576,0.997147,0,-0.25,-0.25,0,0,0,0.999456,0.990055,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0.989575,0.989065,0,0,0,0,0,0.995551,0.991374,0,0,0,0,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,-0.25,0,0,0,0,0,0,0,0,0,0,0,0.97411,0.994785,0,0,0,0,0,0,0.992567,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,-0.25,-0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.25,55.575942
